video_titles,video_ids,video_number
"['LECTURE 1: INTRODUCTION', 'LECTURE 2: DATA COLLECTION TECHNIQUES AND PROGRAM DESIGN', 'LECTURE 3: MODAL CHARACTERISTICS AND ROLES', 'LECTURE 4: SHORT-RANGE PLANNING—PART 1', 'LECTURE 5: SHORT-RANGE PLANNING—PART 2', 'LECTURE 6: MODAL CAPACITIES AND COSTS', 'LECTURE 7: COST ESTIMATION', 'LECTURE 8: RIDERSHIP FORECASTING', 'LECTURE 9: PERFORMANCE MODELS', 'LECTURE 10: ORIGIN, DESTINATION, AND TRANSFER INFERENCE', 'LECTURE 13: VEHICLE SCHEDULING', 'LECTURE 17: CUSTOMER INFORMATION STRATEGIES—GUEST LECTURE BY JOHN ATTANUCCI', 'LECTURE 19: TRANSIT SIGNAL PRIORITY—GUEST LECTURE BY PETER G. FURTH', 'LECTURE 20: SERVICE RELIABILITY', 'LECTURE 21: FARE POLICY, STRUCTURE, AND TECHNOLOGY', 'LECTURE 22: WORKFORCE PLANNING', ""LECTURE 24: BAUMOL'S DISEASE—GUEST LECTURE BY FREDERICK SALVUCCI""]","['wzB8Rhm3xCU', 'JPCA2qE9MSw', 'MlDdfgjpBe0', 'h5x7-zejY8c', 'aLqEG43nKVE', 'dttSgzTJKK4', 'YGpxOuDJdJw', 'Wlz_17id1BM', 'Tsn0xSQjo14', 'avWOCswUJyI', '_FTwuE36SUA', 'mp7Nz8CUPBM', 'K2g0trGAfgo', 'I2K5WnG_TLs', 'CJehtdXHR7Q', 'K7lqWX6fq-Q', 'G1sBybS2M48']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
"['LECTURE 1: COURSE INFORMATION; BEGIN KINEMATICS', 'LECTURE 2: THE ""SPIDER ON A FRISBEE"" PROBLEM', 'LECTURE 3: PULLEY PROBLEM, ANGULAR VELOCITY, MAGIC FORMULA', 'LECTURE 4: MAGIC AND SUPER-MAGIC FORMULAE', 'LECTURE 5: SUPER-MAGIC FORMULA, DEGREES OF FREEDOM, NON-STANDARD COORDINATES, KINEMATIC CONSTRAINTS', 'LECTURE 7: IMPULSE, SKIER SEPARATION PROBLEM', 'LECTURE 8: SINGLE PARTICLE; TWO PARTICLES', 'LECTURE 9: DUMBBELL PROBLEM, MULTIPLE PARTICLE SYSTEMS, RIGID BODIES, DERIVATION OF TORQUE', 'LECTURE 10: THREE CASES, ROLLING DISC PROBLEM']","['K_6tRupDxF4', 'vIjmMUI2w4c', 'PJ905OQGsBA', 'K1pZ90xp2Gw', 'yYDEpATHF7o', '0nFNEpIYmk8', 'ejvzjQ1wQ-U', 'uhjq0UQqkVg', '5iTUUeKjiEM']","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
[],[],[]
"['LECTURE 2: FIRST-ORDER EQUATIONS', 'LECTURE 3: FIRST-ORDER EQUATIONS (CONTINUED)', 'LECTURE 4: SECOND-ORDER EQUATIONS', 'LECTURE 5: SECOND-ORDER EQUATIONS (CONTINUED)']","['4X0SGGrXDiI', 'Gp94Hph_-BU', 'xvTYUnqn2wY', 'aFx8dVLkrWs']","[1, 2, 3, 4]"
"['LECTURE 1: INTRO TO NANOTECHNOLOGY, NANOSCALE TRANSPORT PHENOMENA', 'LECTURE 2: CHARACTERISTIC TIME AND LENGTH, SIMPLE KINETIC THEORY', 'LECTURE 3: SCHRÖDINGER EQUATION AND MATERIAL WAVES', 'LECTURE 4: SOLUTIONS TO SCHRÖDINGER EQUATION, ENERGY QUANTIZATION', 'LECTURE 5: ELECTRONIC LEVELS IN ONE-DIMENSIONAL LATTICE CHAIN', 'LECTURE 6: CRYSTAL BONDING & ELECTRONIC ENERGY LEVELS IN CRYSTALS', 'LECTURE 7: PHONON ENERGY LEVELS IN CRYSTAL AND CRYSTAL STRUCTURES', 'LECTURE 8: DENSITY OF STATES AND STATISTICAL DISTRIBUTIONS', ""LECTURE 9: SPECIFIC HEAT AND PLANCK'S LAW"", 'LECTURE 10: FUNDAMENTAL OF STATISTICAL THERMODYNAMICS', 'LECTURE 11: ENERGY TRANSFER BY WAVES: PLANE WAVES', 'LECTURE 12: EM WAVES: REFLECTION AT A SINGLE INTERFACE', 'LECTURE 13: EM WAVE PROPAGATION THROUGH THIN FILMS & MULTILAYERS', 'LECTURE 14: WAVE PHENOMENA AND LANDAUER FORMALISM', 'LECTURE 15: PARTICLE DESCRIPTION, LIOUVILLE & BOLTZMANN EQUATIONS', 'LECTURE 16: FERMI GOLDEN RULE AND RELAXATION TIME APPROXIMATION', 'LECTURE 17: SOLUTIONS TO BOLTZMANN EQUATION: DIFFUSION LAWS', 'LECTURE 18: ELECTRON TRANSPORT AND THERMOELECTRIC EFFECTS', 'LECTURE 19: CLASSICAL SIZE EFFECTS, PARALLEL DIRECTION', 'LECTURE 20: CLASSICAL SIZE EFFECTS, PERPENDICULAR DIRECTION', 'LECTURE 21: SLIP CONDITION, COUPLED ENERGY TRANSPORT & CONVERSION', 'LECTURE 22: PN JUNCTION, DIODE AND PHOTOVOLTAIC CELLS', 'LECTURE 23: LIQUIDS: BROWNIAN MOTION AND FORCES IN LIQUIDS', 'LECTURE 24: ELECTRICAL DOUBLE LAYER, SIZE EFFECTS IN PHASE CHANGE', 'LECTURE 25: STATISTICAL FOUNDATION FOR MOLECULAR DYNAMICS SIMULATION']","['jisTDmIk3Nw', 'XfWkgDLc4xA', 'Hqm4Xc4212E', 'bESVLOTvijk', 'NLDNfnRGWxI', 'rfgaLeHq5f0', 'lcVaTjSpn7Y', 'Ii6UtH6h2jY', 'D8icilnxcy4', '7Ken5EC4OrU', 'LKNuAQWzWDE', '_DHlhTrlDxc', '_i0yWRrEesM', 'fat0ZKEDzSY', 'YHW7TwF00Rs', 'zC78xmSbhAY', 'fYNz3SsWf90', 'rEVqrE_7CqE', '_ayCen0j-0w', '3oV1saJEZy8', '4uHWWVa4z2s', 'ZYMWsmertQk', 'qsFzIv3PHz8', 'Z5tZlfSwHrk', 'XrdcGZppwI4']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
"['2011 LECTURE 1: INTRODUCTION', '2011 LECTURE 2: THE SOLAR RESOURCE', '2011 LECTURE 3: LIGHT ABSORPTION AND OPTICAL LOSSES', '2011 LECTURE 4: CHARGE EXCITATION', '2011 LECTURE 5: CHARGE SEPARATION, PART I', '2011 LECTURE 6: CHARGE SEPARATION, PART II', '2011 LECTURE 7: TOWARD A 1D DEVICE MODEL, PART I: DEVICE FUNDAMENTALS', '2011 LECTURE 8: TOWARD A 1D DEVICE MODEL, PART II: MATERIAL FUNDAMENTALS', '2011 LECTURE 9: CHARGE EXTRACTION', '2011 LECTURE 10: WAFER SILICON-BASED SOLAR CELLS, PART I', '2011 LECTURE 11: WAFER SILICON-BASED SOLAR CELLS, PART II', '2011 LECTURE 12: THIN FILMS: MATERIALS CHOICES AND MANUFACTURING, PART I', '2011 LECTURE 13: THIN FILMS: MATERIALS CHOICES AND MANUFACTURING, PART II', '2011 LECTURE 14: PV EFFICIENCY: MEASUREMENT AND THEORETICAL LIMITS', '2011 LECTURE 15: ADVANCED CONCEPTS', '2011 LECTURE 16: SOLAR CELL CHARACTERIZATION', '2011 LECTURE 17: MODULES, SYSTEMS, AND RELIABILITY', '2011 LECTURE 18: COST, PRICE, MARKETS, & SUPPORT MECHANISMS, PART I', '2011 LECTURE 19: COST, PRICE, MARKETS, & SUPPORT MECHANISMS, PART II', '2011 LECTURE 20: R&D INVESTMENT & INNOVATION IN PV']","['LOVZE9WalRE', 'BcVzc6IGwS0', 'w6Gfm4D_pmw', 'iJ_lDszxGDw', 'uLbqhIp3ahc', 'AWU3lTs9KJA', 'dFF2DuEv-2c', 'vN5Yn-niTXE', 'W1Wh00CQ-Vc', '9LGLbcjXxqI', '3NQlT1SYpuQ', 'rhV4Wnz8g-U', 'PLVjevMsQpQ', 'lLcDbHI5KGU', 'FLbfYpkSZ84', 'yHzpj_MDOdk', 'C42jXQLc_Jo', 'n25tsUQb3vo', 'KUjWMEBSS8Q', 'c4jP3XCZ4Sw']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
"['LECTURE 1: COURSE ORGANIZATION; INTRODUCTION TO OPTICS', 'LECTURE 2: REFLECTION AND REFRACTION; PRISMS, WAVEGUIDES, AND DISPERSION', 'LECTURE 3: FOCUSING, IMAGING, AND THE PARAXIAL APPROXIMATION', 'LECTURE 4: SIGN CONVENTIONS; THIN LENSES; REAL AND VIRTUAL IMAGES', 'LECTURE 5: THICK LENSES; THE COMPOSITE LENS; THE EYE', 'LECTURE 6: TERMS: APERTURES, STOPS, PUPILS, AND WINDOWS; SINGLE-LENS CAMERA', 'LECTURE 7: BASICS OF MIRRORS, MAGNIFIERS, AND MICROSCOPES', 'LECTURE 8: TELESCOPES; ABERRATIONS: CHROMATIC, SPHERICAL, AND COMA', 'LECTURE 9: MORE ABERRATIONS; OPTICAL DESIGN; GRADIENT INDEX (GRIN)', 'LECTURE 11: THE HAMILTONIAN FORMULATION; INTRODUCTION TO WAVES', 'LECTURE 12: THE WAVE EQUATION; PHASOR REPRESENTATION; 3D WAVES', 'LECTURE 13: 3D WAVE PHENOMENA; INTRODUCTION TO ELECTROMAGNETICS', ""LECTURE 14: MAXWELL'S EQUATIONS; POLARIZATION; POYNTING'S VECTOR"", 'LECTURE 15: HUYGENS PRINCIPLE; INTERFEROMETERS; FRESNEL DIFFRACTION', 'LECTURE 16: GRATINGS: AMPLITUDE AND PHASE, SINUSOIDAL AND BINARY', 'LECTURE 17: FRAUNHOFER DIFFRACTION; FOURIER TRANSFORMS AND THEOREMS', 'LECTURE 18: SPATIAL FILTERING; LENS TRANSFER FUNCTIONS & TRANSFORMS', 'LECTURE 19: THE 4F SYSTEM; BINARY AMPLITUDE & PUPIL MASKS', 'LECTURE 20: SHIFT INVARIANCE; PUPIL ENGINEERING; THE TALBOT EFFECT', 'LECTURE 22: COHERENT AND INCOHERENT IMAGING', 'LECTURE 23: IMAGING WITH A SINGLE LENS', 'LECTURE 25: RESOLUTION; DEFOCUSED OPTICAL SYSTEMS', 'LECTURE 26: DEPTH OF FOCUS AND FIELD; POLARIZATION; WAVE PLATES']","['IYBYmOVmICg', 'Q84-DIyl5wQ', 'X6cea7dAhBc', 'gAL5fCEBfac', 'JmK0vSLULP8', '_jKHejk45Sg', 'VHIJPHqwV_0', 'jNSvbmc_ecM', '8WXUYdXNFy8', '8u0Mfs1m_r8', 'roATER6-1yI', 'MK5uZttfWfM', 'LDlGKU0ryQ8', '933cBlGFDcs', 'JmWguqCZRxk', 'Xke7rX3QO-k', 'u6GbFCWIH_0', 'ML5yVI18uaI', 'OWgogzEUC5E', 'W-7gI87IG1A', 'vcqPRPkyWPU', 'IpFIp68ODNI', 's8XKzciLgak']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
"['1: INTRODUCTION — PROCESSES AND VARIATION FRAMEWORK', '2: SEMICONDUCTOR PROCESS VARIATION', '3: MECHANICAL PROCESS VARIATION', '4: PROBABILITY MODELS OF MANUFACTURING PROCESSES', '5: PROBABILITY MODELS, PARAMETER ESTIMATION, AND SAMPLING', '6: SAMPLING DISTRIBUTIONS AND STATISTICAL HYPOTHESES', '7: SHEWHART SPC AND PROCESS CAPABILITY', '8: PROCESS CAPABILITY AND ALTERNATIVE SPC METHODS', '9: ADVANCED AND MULTIVARIATE SPC', '10: YIELD MODELING', '11: INTRODUCTION TO ANALYSIS OF VARIANCE', '12: FULL FACTORIAL MODELS', '13: MODELING TESTING AND FRACTIONAL FACTORIAL MODELS', '14: ALIASING AND HIGHER ORDER MODELS', '15: RESPONSE SURFACE MODELING AND PROCESS OPTIMIZATION', '16: PROCESS ROBUSTNESS', '17: NESTED VARIANCE COMPONENTS', '18: SEQUENTIAL EXPERIMENTATION', '19: CASE STUDY 1: TUNGSTEN CVD DOE/RSM', '20: CASE STUDY 2: CYCLE TO CYCLE CONTROL', '21: CASE STUDY 3: SPATIAL MODELING', '22: CASE STUDY 4: ""MODELING THE EMBOSSING/IMPRINTING OF THERMOPLASTIC LAYERS.""']","['kC2SEiGaqoA', 'GrXkZYhkUS8', 'turMcLH-o_o', 'R4lUaI7VsK4', 'OQ-534Ovf4U', 'W20WvURZAIE', 'TvrU_6NYBFs', 'MyWivgwDPtg', 'MeFCYYCATw0', '0INq0CFpXpo', 'zx_DA70lYww', 'aHuYrIHveJo', 'FuGcyIynuxg', 'vHxLQwZtAD8', 'ZUkM3_qPBo0', 'AhKNoBxPkJs', 'LIADaqdI1Y8', '6swIAqXcvDQ', '-EgKluVR2Ug', 'qyAoSHisZtU', 'qvX-3FWgAVA', 'ra5yBfC9ztE']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
"['DAY 1: INTRODUCTORY LECTURE', 'DAY 1: MIT MUSEUM NAUTICAL COLLECTIONS AND AN INTRODUCTORY DEMONSTRATION', 'DAY 2: MODEL BUILDING', 'DAY 4: FINISHING UP AND DRAWING UP PLANS', ""DAY 5: CONCLUSION, AND MORE OF THE MIT MUSEUM'S NAUTICAL COLLECTIONS""]","['izS-pGXFnrc', 'sKZfwhrf81I', 'RiQNhZ1P9qs', 'XDsfydo1gkM', 'JGgzgqIGgk0']","[1, 2, 3, 4, 5]"
[],[],[]
